kit_category,unique_company_count,unique_fund_count,avg_deployment_readiness_score,avg_kit_potential_score,reusable_kit_priority_score,example_companies
Compliance / Audit Trail Kit,48,1,4.67,5.0,1120.0,"Freo, FRISS, Cape Analytics, Core Specialty, Paladin Cyber"
Analytics / Executive Intelligence Kit,46,1,4.7,5.0,1080.0,"LegalMation, Freo, Health Prime, Cape Analytics, Atento"
Workflow Orchestration Kit,37,1,4.76,5.0,880.0,"LegalMation, Freo, LEEO, Wisdom Dental, FRISS"
Data Reconciliation Kit,29,1,4.76,5.0,690.0,"Health Prime, Wisdom Dental, Onphase, Nimble Solutions, Fullsteam"
Claims / Payment / Revenue Cycle Kit,28,1,4.64,5.0,650.0,"Freo, LEEO, Health Prime, Wisdom Dental, FRISS"
Knowledge / Policy RAG Kit,27,1,4.63,5.0,625.0,"LegalMation, Health Prime, Zignal, Atento, Core Specialty"
Document Intake & Extraction Kit,20,1,4.65,5.0,465.0,"LegalMation, LEEO, Wisdom Dental, Planet DDS, Onphase"
Scheduling / Dispatch / Capacity Kit,15,1,4.33,4.93,320.67,"Ripe, Planet DDS, Oka, Valera Health, WeatherPromise"
Forecasting / Optimization Kit,14,1,4.57,4.86,310.86,"Onphase, Quicken, WeatherPromise, Clearcourse, Embark"
Software Delivery Automation Kit,13,1,4.62,5.0,300.0,"Consilio, Virtuslab, Fullsteam, Unqork, Clearcourse"
Sales / Marketing Personalization Kit,11,1,4.55,5.0,250.0,"Atento, Ripe, Capintel, Virtuslab, Quicken"
Customer Support / Contact Center Kit,9,1,4.44,5.0,200.0,"Atento, Ripe, Quicken, Hippo, Tivly"
Human Review & Approval Kit,3,1,5.0,5.0,75.0,"Scripta, Flueid, Confido"
Field / Physical Ops Assist Kit,1,1,4.0,5.0,20.0,Custodian Club
