kit_category,unique_company_count,unique_fund_count,avg_deployment_readiness_score,avg_kit_potential_score,reusable_kit_priority_score,example_companies
Analytics / Executive Intelligence Kit,153,3,4.42,4.98,3353.54,"LegalMation, Freo, Health Prime, Cape Analytics, Atento"
Compliance / Audit Trail Kit,145,3,4.47,4.98,3226.59,"Freo, FRISS, Cape Analytics, Core Specialty, Paladin Cyber"
Forecasting / Optimization Kit,140,3,4.21,4.91,2887.0,"Onphase, Quicken, Acrisure, WeatherPromise, Murka"
Knowledge / Policy RAG Kit,92,3,4.49,5.0,2065.0,"LegalMation, Health Prime, Zignal, Atento, Core Specialty"
Workflow Orchestration Kit,91,3,4.55,4.98,2060.9,"LegalMation, Freo, LEEO, Wisdom Dental, FRISS"
Scheduling / Dispatch / Capacity Kit,94,3,4.2,4.82,1897.49,"Ripe, Planet DDS, Oka, Ags Health, House Of Hr"
Software Delivery Automation Kit,73,3,4.4,4.82,1541.47,"Consilio, Virtuslab, Engineering Ingegneria Informatica, Fullsteam, Unqork"
Sales / Marketing Personalization Kit,63,3,4.27,5.0,1338.6,"Atento, Ripe, Capintel, Virtuslab, Quicken"
Data Reconciliation Kit,49,3,4.61,4.98,1125.39,"Health Prime, Wisdom Dental, Onphase, Nimble Solutions, Waystar (Formerly Iodine Software)"
Claims / Payment / Revenue Cycle Kit,48,3,4.6,4.96,1095.79,"Freo, LEEO, Health Prime, Wisdom Dental, FRISS"
Document Intake & Extraction Kit,42,3,4.5,5.0,945.0,"LegalMation, LEEO, Wisdom Dental, Planet DDS, Onphase"
Customer Support / Contact Center Kit,43,3,4.3,4.93,912.09,"Atento, Ripe, Quicken, VXI, Allied Benefit Systems"
R&D / Scientific Intelligence Kit,39,2,4.21,4.74,771.96,"Citiustech, Cmic, Precision Medicine Group, Avistone, Softway"
Field / Physical Ops Assist Kit,39,3,4.13,4.74,763.72,"Msx International, Custodian Club, Overit, Dealer Tire, Luminator Technology Group"
Human Review & Approval Kit,3,1,5.0,5.0,75.0,"Scripta, Flueid, Confido"
Agentic Transaction / Trust Kit,2,2,5.0,5.0,50.0,"Ancestry, Namirial"
