kit_category,unique_company_count,unique_fund_count,avg_deployment_readiness_score,avg_kit_potential_score,reusable_kit_priority_score,example_companies
Forecasting / Optimization Kit,69,1,4.22,4.91,1417.26,"Acrisure, Zelis, Msx International, Avistone, CentralSquare Technologies"
Analytics / Executive Intelligence Kit,51,1,4.27,4.96,1068.73,"Acrisure, House Of Hr, Zelis, Kantar, Guidehouse"
Compliance / Audit Trail Kit,45,1,4.33,4.98,970.67,"Acrisure, Engineering Ingegneria Informatica, House Of Hr, VXI, Zelis"
Scheduling / Dispatch / Capacity Kit,40,1,4.2,4.8,800.35,"House Of Hr, VXI, CentralSquare Technologies, PartsSource, Brexa"
Software Delivery Automation Kit,34,1,4.38,4.74,699.33,"Engineering Ingegneria Informatica, Kantar, Guidehouse, Citiustech, Inetum"
R&D / Scientific Intelligence Kit,29,1,4.1,4.72,556.36,"Citiustech, Avistone, Softway, Tanabe Pharma, Tenacia"
Knowledge / Policy RAG Kit,23,1,4.52,5.0,520.0,"VXI, Kantar, Guidehouse, Inetum, Tenacia"
Sales / Marketing Personalization Kit,24,1,4.25,5.0,503.62,"Kantar, Enito Group, HSO, Envestnet, Advantage Solutions"
Customer Support / Contact Center Kit,21,1,4.29,4.86,437.14,"VXI, Citiustech, CentralSquare Technologies, Enito Group, Athenahealth"
Field / Physical Ops Assist Kit,21,1,4.14,4.76,414.29,"Msx International, Overit, Dealer Tire, Itp Aero, Harrington"
Workflow Orchestration Kit,17,1,4.29,5.0,365.0,"Waystar (Formerly Iodine Software), Inetum, PartsSource, Evident, Extrahop"
Claims / Payment / Revenue Cycle Kit,11,1,4.55,4.82,240.91,"Waystar (Formerly Iodine Software), Acrisure, Zelis, Citiustech, Healthedge"
Data Reconciliation Kit,10,1,4.5,5.0,225.0,"Waystar (Formerly Iodine Software), House Of Hr, Msx International, PartsSource, Enito Group"
Document Intake & Extraction Kit,10,1,4.1,5.0,205.0,"Waystar (Formerly Iodine Software), Tanabe Pharma, Tenacia, Evident, Linc'Well"
Agentic Transaction / Trust Kit,1,1,5.0,5.0,25.0,Namirial
